,Driver,TeamName_x,GridPosition,Finish_Position,Status,delta_to_pole,Qual_Position,Year,Location,fp2_median_pace,fp2_team_dif,fp2_deg_rate
86,BOT,Alfa Romeo,5.0,7.0,Finished,0.6789999999999878,5.0,2022,Miami,,,
87,OCO,Alpine,20.0,8.0,Finished,,20.0,2022,Miami,94.8235,0.34250000000000114,-1.5247255813953435
88,ALB,Williams,18.0,9.0,Finished,2.469999999999999,18.0,2022,Miami,110.465,-0.38700000000000045,3.119599999999992
89,STR,Aston Martin,0.0,10.0,Finished,1.8799999999999955,10.0,2022,Miami,96.621,1.3654999999999973,0.3981935889377798
90,ALO,Alpine,11.0,11.0,Finished,1.36399999999999,11.0,2022,Miami,94.481,-0.34250000000000114,
91,TSU,AlphaTauri,9.0,12.0,Finished,1.1359999999999957,9.0,2022,Miami,103.951,0.38700000000000045,-1.2810181818181763
92,RIC,McLaren,14.0,13.0,Finished,1.5139999999999958,14.0,2022,Miami,96.7415,1.4110000000000014,1.6304776119402846
93,LAT,Williams,19.0,14.0,Finished,2.5289999999999964,19.0,2022,Miami,110.852,0.38700000000000045,6.505699999999996
94,MSC,Haas F1 Team,15.0,15.0,Finished,1.6269999999999953,15.0,2022,Miami,97.711,3.346999999999994,1.6154286922379981
95,MAG,Haas F1 Team,16.0,16.0,Front wing,2.178999999999988,16.0,2022,Miami,94.364,-3.346999999999994,0.3697257142857113
96,VET,Aston Martin,0.0,17.0,Collision,1.4179999999999922,13.0,2022,Miami,95.2555,-1.3654999999999973,0.33262115021999
97,GAS,AlphaTauri,7.0,18.0,Suspension,0.8939999999999912,7.0,2022,Miami,103.564,-0.38700000000000045,2.4804999999999993
98,NOR,McLaren,8.0,19.0,Collision,0.9539999999999935,8.0,2022,Miami,95.3305,-1.4110000000000014,4.768885714285708
99,ZHO,Alfa Romeo,17.0,20.0,Water leak,2.2239999999999895,17.0,2022,Miami,95.7465,,2.144319796987644
100,VER,Red Bull Racing,2.0,1.0,Finished,0.3229999999999933,2.0,2022,Barcelona,86.0205,-0.3689999999999998,0.08217582417582528
101,PER,Red Bull Racing,5.0,2.0,Finished,0.6700000000000017,5.0,2022,Barcelona,86.3895,0.3689999999999998,3.7623399999999996
102,RUS,Mercedes,4.0,3.0,Finished,0.6430000000000007,4.0,2022,Barcelona,86.692,0.4059999999999917,2.9430333333333323
103,SAI,Ferrari,3.0,4.0,Finished,0.4159999999999968,3.0,2022,Barcelona,86.405,-0.4555000000000007,0.4585666666666699
104,HAM,Mercedes,6.0,5.0,Finished,0.7620000000000005,6.0,2022,Barcelona,86.286,-0.4059999999999917,2.5479500000000033
105,BOT,Alfa Romeo,7.0,6.0,Finished,0.8580000000000041,7.0,2022,Barcelona,81.828,-5.767499999999998,
106,OCO,Alpine,12.0,7.0,Finished,1.8880000000000052,12.0,2022,Barcelona,87.241,-0.06650000000000489,1.164318593171536
107,NOR,McLaren,11.0,8.0,Finished,1.7210000000000036,11.0,2022,Barcelona,94.298,7.959000000000003,
108,ALO,Alpine,20.0,9.0,+1 Lap,2.2930000000000064,17.0,2022,Barcelona,87.3075,0.06650000000000489,1.5067272727272716
109,TSU,AlphaTauri,13.0,10.0,+1 Lap,1.8889999999999958,13.0,2022,Barcelona,88.638,2.0290000000000106,2.6059752508361242
110,VET,Aston Martin,16.0,11.0,+1 Lap,2.2039999999999935,16.0,2022,Barcelona,87.005,-1.0220000000000056,2.3604795918367354
111,RIC,McLaren,9.0,12.0,+1 Lap,1.546999999999997,9.0,2022,Barcelona,86.339,-7.959000000000003,-0.15196153846153543
112,GAS,AlphaTauri,14.0,13.0,+1 Lap,2.111000000000004,14.0,2022,Barcelona,86.609,-2.0290000000000106,0.19492727272727245
113,MSC,Haas F1 Team,10.0,14.0,+1 Lap,1.617999999999995,10.0,2022,Barcelona,88.1825,0.7630000000000052,1.5971750841750851
114,STR,Aston Martin,17.0,15.0,+1 Lap,2.6680000000000064,18.0,2022,Barcelona,88.027,1.0220000000000056,1.724284375000006
115,LAT,Williams,19.0,16.0,+2 Laps,3.1650000000000063,20.0,2022,Barcelona,89.1605,0.015000000000000568,4.189563636363634
116,MAG,Haas F1 Team,8.0,17.0,+2 Laps,0.9320000000000022,8.0,2022,Barcelona,87.4195,-0.7630000000000052,1.879100000000002
