,Driver,TeamName_x,GridPosition,Finish_Position,Status,delta_to_pole,Qual_Position,Year,Location,fp2_median_pace,fp2_team_dif,fp2_deg_rate,circuit_length,num_corners,num_drs_zones,avg_speed_kmh,safety_car_rate,track_type,overtaking_ability
37,LAT,Williams,18.0,18.0,Accident,3.6169999999999902,19.0,2022,Jeddah,96.905,0.909000000000006,0.14949267399267874,6174.0,27.0,3.0,252.0,0.25,street,0.65
38,TSU,AlphaTauri,19.0,19.0,Power Unit,,20.0,2022,Jeddah,96.69800000000001,0.4380000000000024,-0.13533174603174594,6174.0,27.0,3.0,252.0,0.25,street,0.65
39,MSC,Haas F1 Team,,,Withdrew,1.7199999999999989,14.0,2022,Jeddah,97.275,-33.18899999999999,2.6770923076923117,6174.0,27.0,3.0,252.0,0.25,street,0.65
40,LEC,Ferrari,1.0,1.0,Finished,0.0,1.0,2022,Melbourne,83.586,-0.44299999999999784,-0.3861571428571341,5278.0,14.0,3.0,223.0,0.15,permanent,0.45
41,PER,Red Bull Racing,3.0,2.0,Finished,0.3719999999999999,3.0,2022,Melbourne,83.663,-0.1560000000000059,-0.15220000000000064,5278.0,14.0,3.0,223.0,0.15,permanent,0.45
42,RUS,Mercedes,6.0,3.0,Finished,1.065000000000012,6.0,2022,Melbourne,86.463,-0.5960000000000036,1.482635403726704,5278.0,14.0,3.0,223.0,0.15,permanent,0.45
43,HAM,Mercedes,5.0,4.0,Finished,0.9570000000000078,5.0,2022,Melbourne,87.059,0.5960000000000036,1.7281000000000117,5278.0,14.0,3.0,223.0,0.15,permanent,0.45
44,NOR,McLaren,4.0,5.0,Finished,0.835000000000008,4.0,2022,Melbourne,84.818,-0.5010000000000048,0.12256666666666743,5278.0,14.0,3.0,223.0,0.15,permanent,0.45
45,RIC,McLaren,7.0,6.0,Finished,1.1640000000000015,7.0,2022,Melbourne,85.319,0.5010000000000048,0.17191666666666539,5278.0,14.0,3.0,223.0,0.15,permanent,0.45
46,OCO,Alpine,8.0,7.0,Finished,1.193000000000012,8.0,2022,Melbourne,85.037,0.7755000000000081,-0.6666071428571337,5278.0,14.0,3.0,223.0,0.15,permanent,0.45
47,BOT,Alfa Romeo,12.0,8.0,Finished,1.5420000000000016,12.0,2022,Melbourne,84.97149999999999,-0.6835000000000093,-1.6019515444015404,5278.0,14.0,3.0,223.0,0.15,permanent,0.45
