,Driver,TeamName_x,GridPosition,Finish_Position,Status,Median_lap_time,team_dif,Deg_Rate_Weighted,delta_to_pole,Qual_Position,Year,Location,dnf,fp2_median_pace,fp2_team_dif,fp2_deg_rate
396,MAG,Haas F1 Team,19.0,17.0,+1 Lap,85.07,0.5714999999999861,-0.020228101919140838,2.0579999999999927,15.0,2022,Mexico City,False,85.40950000000001,-0.23749999999999716,0.013393939393942862
397,LAT,Williams,18.0,18.0,+2 Laps,85.3845,0.5944999999999965,0.03473403868474222,3.391999999999996,20.0,2022,Mexico City,False,85.354,0.3064999999999998,0.006708333333334836
398,ALO,Alpine,9.0,19.0,Engine,84.391,-0.0519999999999925,0.14616544325239997,1.1639999999999873,9.0,2022,Mexico City,False,84.714,1.3349999999999937,0.075071428571427
399,TSU,AlphaTauri,13.0,20.0,Collision damage,84.691,-0.055999999999997385,-0.019356140350878008,1.813999999999993,13.0,2022,Mexico City,False,83.797,-0.6769999999999925,2.3950499999999986
400,RUS,Mercedes,1.0,1.0,Finished,76.0395,0.2189999999999941,0.012689689570278976,1.1089999999999947,3.0,2022,São Paulo,False,76.567,0.1844999999999999,0.12583787242169786
401,HAM,Mercedes,2.0,2.0,Finished,75.82050000000001,-0.2189999999999941,0.03194797993431359,1.6610000000000014,8.0,2022,São Paulo,False,76.3825,-0.1844999999999999,0.09351153228339541
402,SAI,Ferrari,7.0,3.0,Finished,75.8895,-0.22550000000001091,0.026890789830324877,1.4069999999999965,5.0,2022,São Paulo,False,76.596,-0.1490000000000009,0.09154635108481449
403,LEC,Ferrari,5.0,4.0,Finished,76.11500000000001,0.22550000000001091,0.04396466349287589,0.0,10.0,2022,São Paulo,False,76.745,0.1490000000000009,0.035788264055254475
404,ALO,Alpine,17.0,5.0,Finished,76.15350000000001,-0.8094999999999857,0.007944850439414092,1.554000000000002,7.0,2022,São Paulo,False,77.304,0.8520000000000039,0.10500774999999678
405,VER,Red Bull Racing,3.0,6.0,Finished,76.21199999999999,-0.016000000000005343,0.033195310567964036,0.9269999999999925,2.0,2022,São Paulo,False,76.913,0.394999999999996,0.15359546197509646
406,PER,Red Bull Racing,4.0,7.0,Finished,76.228,0.016000000000005343,0.03046302766835622,4.650999999999996,9.0,2022,São Paulo,False,76.518,-0.394999999999996,0.07378235647601303
407,OCO,Alpine,16.0,8.0,Finished,76.963,0.8094999999999857,0.01869370837919558,1.4749999999999943,6.0,2022,São Paulo,False,76.452,-0.8520000000000039,0.14910065934066066
408,BOT,Alfa Romeo,14.0,9.0,Finished,76.907,-0.1880000000000024,0.00446303542106519,4.536000000000001,18.0,2022,São Paulo,False,77.191,-0.07650000000001,0.27401981981982104
409,STR,Aston Martin,15.0,10.0,Finished,77.114,0.2540000000000049,0.02959819696330795,1.259999999999991,15.0,2022,São Paulo,False,77.849,0.2155000000000058,0.9169761309807108
410,VET,Aston Martin,9.0,11.0,Finished,76.86,-0.2540000000000049,0.0018986652236665808,0.7279999999999944,13.0,2022,São Paulo,False,77.6335,-0.2155000000000058,0.590173911535664
411,ZHO,Alfa Romeo,13.0,12.0,Finished,77.095,0.1880000000000024,0.025110357773616955,4.247,17.0,2022,São Paulo,False,77.26750000000001,0.07650000000001,0.12851982201366374
412,MSC,Haas F1 Team,12.0,13.0,Finished,77.242,,0.03055098440705258,5.411000000000001,20.0,2022,São Paulo,False,78.27250000000001,1.045500000000004,0.35381362580169445
413,GAS,AlphaTauri,10.0,14.0,Finished,77.241,0.007000000000005002,-0.007939020979020772,0.7249999999999943,12.0,2022,São Paulo,False,77.042,-0.5229999999999961,0.13279598302658105
414,ALB,Williams,19.0,15.0,Finished,77.639,-0.12300000000000466,0.02618970518632328,0.6809999999999974,11.0,2022,São Paulo,False,,,
415,LAT,Williams,18.0,16.0,Finished,77.762,0.12300000000000466,0.0539756514852662,4.144999999999996,16.0,2022,São Paulo,False,78.762,0.6159999999999997,-0.03963132878151254
416,TSU,AlphaTauri,0.0,17.0,+1 Lap,77.234,-0.007000000000005002,-0.05769994720687547,5.313999999999993,19.0,2022,São Paulo,False,77.565,0.5229999999999961,0.0999626878888694
417,NOR,McLaren,6.0,18.0,Gearbox,77.174,,0.0065434782608676575,1.3130000000000024,4.0,2022,São Paulo,False,77.4785,0.06099999999999284,0.033928909952606716
418,MAG,Haas F1 Team,8.0,19.0,Collision,,,,0.7240000000000038,1.0,2022,São Paulo,False,77.227,-1.045500000000004,0.6858536866935946
419,RIC,McLaren,11.0,20.0,Collision,,,,1.1899999999999977,14.0,2022,São Paulo,False,77.4175,-0.06099999999999284,1.1254962121212104
420,VER,Red Bull Racing,1.0,1.0,Finished,90.16,-0.08150000000000546,-0.023946558549777418,0.0,1.0,2022,Yas Island,False,90.435,-0.3329999999999984,0.3241428571428558
421,LEC,Ferrari,3.0,2.0,Finished,90.23,-0.2394999999999925,-0.005862252932432122,0.2680000000000007,3.0,2022,Yas Island,False,91.381,0.23050000000000637,1.844889830508474
422,PER,Red Bull Racing,2.0,3.0,Finished,90.2415,0.08150000000000546,0.001790526875982355,0.22800000000000864,2.0,2022,Yas Island,False,90.768,0.3329999999999984,3.361316666666668
423,SAI,Ferrari,4.0,4.0,Finished,90.4695,0.2394999999999925,0.004296980842197189,0.41800000000000637,4.0,2022,Yas Island,False,91.1505,-0.23050000000000637,2.7789392857142854
