,Unnamed: 0,Driver,TeamName_x,GridPosition,Finish_Position,Status,delta_to_pole,Qual_Position,Year,Location,fp2_median_pace,fp2_team_dif,fp2_deg_rate
59,59,VER,Red Bull Racing,1.0,1.0,Finished,0.0,1.0,2024,Suzuka,,,
60,60,PER,Red Bull Racing,2.0,2.0,Finished,0.0660000000000025,2.0,2024,Suzuka,,,
61,61,SAI,Ferrari,4.0,3.0,Finished,0.4849999999999994,4.0,2024,Suzuka,112.579,-2.9920000000000044,
62,62,LEC,Ferrari,8.0,4.0,Finished,0.5889999999999986,8.0,2024,Suzuka,115.571,2.9920000000000044,
63,63,NOR,McLaren,3.0,5.0,Finished,0.2920000000000016,3.0,2024,Suzuka,104.977,6.993500000000012,
64,64,ALO,Aston Martin,5.0,6.0,Finished,0.4890000000000043,5.0,2024,Suzuka,,,
65,65,RUS,Mercedes,9.0,7.0,Finished,0.8109999999999928,9.0,2024,Suzuka,,,
66,66,PIA,McLaren,6.0,8.0,Finished,0.5630000000000024,6.0,2024,Suzuka,97.9835,-6.993500000000012,3.9673999999999903
67,67,HAM,Mercedes,7.0,9.0,Finished,0.5690000000000026,7.0,2024,Suzuka,109.751,,
68,68,TSU,RB,10.0,10.0,Lapped,1.215999999999994,10.0,2024,Suzuka,116.1925,2.823999999999998,
69,69,HUL,Haas F1 Team,12.0,11.0,Lapped,1.296999999999997,12.0,2024,Suzuka,115.179,,
70,70,STR,Aston Martin,16.0,12.0,Lapped,1.8269999999999984,16.0,2024,Suzuka,,,
71,71,MAG,Haas F1 Team,18.0,13.0,Lapped,1.9339999999999975,18.0,2024,Suzuka,,,
72,72,BOT,Kick Sauber,13.0,14.0,Lapped,1.3960000000000008,13.0,2024,Suzuka,116.059,-7.257999999999996,
73,73,OCO,Alpine,15.0,15.0,Lapped,1.6189999999999998,15.0,2024,Suzuka,119.113,,
74,74,GAS,Alpine,17.0,16.0,Lapped,1.921999999999997,17.0,2024,Suzuka,,,
75,75,SAR,Williams,19.0,17.0,Lapped,1.941999999999993,19.0,2024,Suzuka,,,
76,76,ZHO,Kick Sauber,20.0,18.0,Retired,1.945999999999998,20.0,2024,Suzuka,123.317,7.257999999999996,
77,77,RIC,RB,11.0,19.0,Retired,1.2749999999999917,11.0,2024,Suzuka,113.3685,-2.823999999999998,
78,78,ALB,Williams,14.0,20.0,Retired,1.516999999999996,14.0,2024,Suzuka,123.821,,
79,79,VER,Red Bull Racing,1.0,1.0,Finished,0.0,1.0,2024,Shanghai,,,
80,80,NOR,McLaren,4.0,2.0,Finished,0.5050000000000097,4.0,2024,Shanghai,,,
81,81,PER,Red Bull Racing,2.0,3.0,Finished,0.3220000000000027,2.0,2024,Shanghai,,,
82,82,LEC,Ferrari,6.0,4.0,Finished,0.6290000000000049,6.0,2024,Shanghai,,,
83,83,SAI,Ferrari,7.0,5.0,Finished,0.6370000000000005,7.0,2024,Shanghai,,,
84,84,RUS,Mercedes,8.0,6.0,Finished,0.7730000000000103,8.0,2024,Shanghai,,,
85,85,ALO,Aston Martin,3.0,7.0,Finished,0.4879999999999995,3.0,2024,Shanghai,,,
86,86,PIA,McLaren,5.0,8.0,Finished,0.6129999999999995,5.0,2024,Shanghai,,,
87,87,HAM,Mercedes,18.0,9.0,Finished,1.9129999999999967,18.0,2024,Shanghai,,,
88,88,HUL,Haas F1 Team,9.0,10.0,Finished,0.9440000000000026,9.0,2024,Shanghai,,,
89,89,OCO,Alpine,13.0,11.0,Finished,1.5630000000000024,13.0,2024,Shanghai,,,
90,90,ALB,Williams,14.0,12.0,Finished,1.581000000000003,14.0,2024,Shanghai,,,
91,91,GAS,Alpine,15.0,13.0,Finished,1.8029999999999973,15.0,2024,Shanghai,,,
92,92,ZHO,Kick Sauber,16.0,14.0,Finished,1.8449999999999989,16.0,2024,Shanghai,,,
93,93,STR,Aston Martin,11.0,15.0,Finished,1.1779999999999973,11.0,2024,Shanghai,,,
94,94,MAG,Haas F1 Team,17.0,16.0,Finished,1.8560000000000088,17.0,2024,Shanghai,,,
95,95,SAR,Williams,20.0,17.0,Finished,2.6980000000000075,20.0,2024,Shanghai,,,
96,96,RIC,RB,12.0,18.0,Retired,1.274000000000001,12.0,2024,Shanghai,,,
97,97,TSU,RB,19.0,19.0,Retired,2.0859999999999985,19.0,2024,Shanghai,,,
98,98,BOT,Kick Sauber,10.0,20.0,Retired,1.0050000000000097,10.0,2024,Shanghai,,,
99,99,NOR,McLaren,5.0,1.0,Finished,0.3529999999999944,5.0,2024,Miami,,,
100,100,VER,Red Bull Racing,1.0,2.0,Finished,0.0,1.0,2024,Miami,,,
101,101,LEC,Ferrari,2.0,3.0,Finished,0.1410000000000053,2.0,2024,Miami,,,
102,102,PER,Red Bull Racing,4.0,4.0,Finished,0.2189999999999941,4.0,2024,Miami,,,
103,103,SAI,Ferrari,3.0,5.0,Finished,0.2139999999999986,3.0,2024,Miami,,,
104,104,HAM,Mercedes,8.0,6.0,Finished,0.8659999999999997,8.0,2024,Miami,,,
105,105,TSU,RB,10.0,7.0,Finished,0.9509999999999934,10.0,2024,Miami,,,
106,106,RUS,Mercedes,7.0,8.0,Finished,0.8259999999999934,7.0,2024,Miami,,,
107,107,ALO,Aston Martin,15.0,9.0,Finished,1.186000000000007,15.0,2024,Miami,,,
108,108,OCO,Alpine,13.0,10.0,Finished,1.1299999999999957,13.0,2024,Miami,,,
109,109,HUL,Haas F1 Team,9.0,11.0,Finished,0.9050000000000012,9.0,2024,Miami,,,
110,110,GAS,Alpine,12.0,12.0,Finished,1.0829999999999984,12.0,2024,Miami,,,
111,111,PIA,McLaren,6.0,13.0,Finished,0.4339999999999975,6.0,2024,Miami,,,
112,112,ZHO,Kick Sauber,19.0,14.0,Finished,1.5829999999999984,20.0,2024,Miami,,,
113,113,RIC,RB,20.0,15.0,Finished,1.3760000000000048,18.0,2024,Miami,,,
114,114,BOT,Kick Sauber,16.0,16.0,Finished,1.2219999999999942,16.0,2024,Miami,,,
115,115,STR,Aston Martin,11.0,17.0,Finished,0.9809999999999944,11.0,2024,Miami,,,
116,116,ALB,Williams,14.0,18.0,Finished,1.171999999999997,14.0,2024,Miami,,,
117,117,MAG,Haas F1 Team,18.0,19.0,Finished,1.378,19.0,2024,Miami,,,
118,118,SAR,Williams,17.0,20.0,Retired,1.2459999999999951,17.0,2024,Miami,,,
119,119,VER,Red Bull Racing,1.0,1.0,Finished,0.0,1.0,2024,Imola,81.634,0.3349999999999937,2.4448038461538486
120,120,NOR,McLaren,2.0,2.0,Finished,0.0910000000000081,3.0,2024,Imola,80.826,0.1034999999999968,1.707739285714288
121,121,LEC,Ferrari,3.0,3.0,Finished,0.2240000000000037,4.0,2024,Imola,80.869,-0.323999999999998,1.139023809523814
122,122,PIA,McLaren,5.0,4.0,Finished,0.073999999999998,2.0,2024,Imola,80.7225,-0.1034999999999968,0.0328545454545447
123,123,SAI,Ferrari,4.0,5.0,Finished,0.487000000000009,5.0,2024,Imola,81.193,0.323999999999998,1.9754440559440551
124,124,HAM,Mercedes,8.0,6.0,Finished,0.7580000000000098,8.0,2024,Imola,80.921,-0.3829999999999955,-0.6495661375661381
125,125,RUS,Mercedes,6.0,7.0,Finished,0.4879999999999995,6.0,2024,Imola,81.304,0.3829999999999955,1.621034718614724
126,126,PER,Red Bull Racing,11.0,8.0,Finished,0.960000000000008,11.0,2024,Imola,81.299,-0.3349999999999937,4.628400000000003
127,127,STR,Aston Martin,13.0,9.0,Finished,1.246000000000009,13.0,2024,Imola,81.476,-0.0760000000000076,2.9017399999999993
128,128,TSU,RB,7.0,10.0,Lapped,0.7190000000000083,7.0,2024,Imola,82.1565,0.403499999999994,0.0452141483516519
