,Driver,TeamName_x,GridPosition,Finish_Position,Status,Median_lap_time,team_dif,Deg_Rate_Weighted,delta_to_pole,Qual_Position,Year,Location,dnf
88,ALB,Williams,18.0,9.0,Finished,95.01849999999999,-1.5475000000000136,-0.0345100801103517,2.469999999999999,18.0,2022,Miami,False
89,STR,Aston Martin,0.0,10.0,Finished,95.015,-0.2505000000000024,-0.08973795761078902,1.8799999999999955,10.0,2022,Miami,False
90,ALO,Alpine,11.0,11.0,Finished,94.929,-0.04999999999999716,-0.037045144994999266,1.36399999999999,11.0,2022,Miami,False
91,TSU,AlphaTauri,9.0,12.0,Finished,95.729,0.49099999999999966,-0.04050380844808237,1.1359999999999957,9.0,2022,Miami,False
92,RIC,McLaren,14.0,13.0,Finished,95.3925,-0.023499999999998522,-0.1856002958987064,1.5139999999999958,14.0,2022,Miami,False
93,LAT,Williams,19.0,14.0,Finished,96.566,1.5475000000000136,-0.08201474878444132,2.5289999999999964,19.0,2022,Miami,False
94,MSC,Haas F1 Team,15.0,15.0,Finished,94.93,-0.09049999999999159,-0.025171420083183637,1.6269999999999953,15.0,2022,Miami,False
95,MAG,Haas F1 Team,16.0,16.0,Front wing,95.0205,0.09049999999999159,-0.06449387011616715,2.178999999999988,16.0,2022,Miami,False
96,VET,Aston Martin,0.0,17.0,Collision,95.2655,0.2505000000000024,-0.12622857142857313,1.4179999999999922,13.0,2022,Miami,False
97,GAS,AlphaTauri,7.0,18.0,Suspension,95.238,-0.49099999999999966,0.008193696342464734,0.8939999999999912,7.0,2022,Miami,False
98,NOR,McLaren,8.0,19.0,Collision,95.416,0.023499999999998522,-0.0532754385964925,0.9539999999999935,8.0,2022,Miami,False
99,ZHO,Alfa Romeo,17.0,20.0,Water leak,96.727,2.264499999999998,,2.2239999999999895,17.0,2022,Miami,False
100,VER,Red Bull Racing,2.0,1.0,Finished,87.176,-0.4719999999999942,0.0810333250083264,0.3229999999999933,2.0,2022,Barcelona,False
101,PER,Red Bull Racing,5.0,2.0,Finished,87.648,0.4719999999999942,0.07510954792463345,0.6700000000000017,5.0,2022,Barcelona,False
102,RUS,Mercedes,4.0,3.0,Finished,88.03,0.6680000000000064,0.14427515817515887,0.6430000000000007,4.0,2022,Barcelona,False
103,SAI,Ferrari,3.0,4.0,Finished,87.967,-0.132000000000005,0.09639610592365944,0.4159999999999968,3.0,2022,Barcelona,False
104,HAM,Mercedes,6.0,5.0,Finished,87.362,-0.6680000000000064,0.16924560825806834,0.7620000000000005,6.0,2022,Barcelona,False
105,BOT,Alfa Romeo,7.0,6.0,Finished,88.55,-1.4549999999999983,0.06287880757566203,0.8580000000000041,7.0,2022,Barcelona,False
106,OCO,Alpine,12.0,7.0,Finished,88.76,0.291000000000011,0.10604327224310821,1.8880000000000052,12.0,2022,Barcelona,False
107,NOR,McLaren,11.0,8.0,Finished,88.88,-0.30299999999999727,0.07889245236556075,1.7210000000000036,11.0,2022,Barcelona,False
108,ALO,Alpine,20.0,9.0,+1 Lap,88.469,-0.291000000000011,0.045262586466164406,2.2930000000000064,17.0,2022,Barcelona,False
109,TSU,AlphaTauri,13.0,10.0,+1 Lap,88.648,-0.5109999999999957,0.029457229973329405,1.8889999999999958,13.0,2022,Barcelona,False
110,VET,Aston Martin,16.0,11.0,+1 Lap,89.178,0.14399999999999125,0.0017315204766951238,2.2039999999999935,16.0,2022,Barcelona,False
111,RIC,McLaren,9.0,12.0,+1 Lap,89.18299999999999,0.30299999999999727,0.07865033667602433,1.546999999999997,9.0,2022,Barcelona,False
112,GAS,AlphaTauri,14.0,13.0,+1 Lap,89.15899999999999,0.5109999999999957,0.11303638544891652,2.111000000000004,14.0,2022,Barcelona,False
113,MSC,Haas F1 Team,10.0,14.0,+1 Lap,89.70750000000001,-0.10599999999999454,0.08657849961802999,1.617999999999995,10.0,2022,Barcelona,False
